"y","Z","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10"
-0.508235590088299,1,0.962033143790341,2.54463333991713,-1.79043924699824,-4.10352711423334,-6.27076581621868,-5.08076478683303,-1.41074974917761,2.23921215909092,6.5159817197091,5.38510653425764,4.90390039786955,0.485638218220966,-2.29680563908449,-4.7220221713187,-5.3645591476236,1.06741348042887,0.331386656881326,0.287390104032598,0.281186271813106,-0.348432913352744,-0.374259894774922,-0.934459448346815,-0.207554652284243,0.684010908683285,0.815653315584539
-4.98412585718183,1,0.500152580145019,0.744139486342697,-1.74866225195887,-5.27671631578611,-6.11164541214727,-5.7006110126028,-2.50199960226348,1.61243067929108,3.76225253590278,5.82925298299306,3.62748117475362,1.6965727557184,-2.28992933064021,-3.61730060197012,-5.31744183640098,-1.31620216763809,-1.16001553987835,-1.49629293347072,-0.825956476067057,-1.77860851256031,-1.05560184532188,-0.646087170045364,-0.518199124924342,-0.776689402149707,0.158162687246142
-2.91754749246472,1,-0.18279340895922,1.75435628393187,-2.05808849965754,-5.23537807127634,-5.66421166472542,-5.26251604606862,-1.65202700126508,2.06017324270266,5.03208218982412,6.45583312643303,5.05947353041793,1.84695231562648,-0.357913488800684,-4.45944384577952,-5.74405273099344,-0.497600751269217,-0.243942148247785,-0.261882127885617,-0.927989055458501,-0.34050658860384,-0.00690042400640439,-0.554410444370039,-0.987377199460749,-0.602295118332663,-0.249199945256454
-5.0761735939069,1,-0.270226182762815,1.48555931090919,-1.97116787724988,-3.2100844447281,-4.59760069102715,-3.47422312450634,-0.684754702660154,2.37263723611474,3.08809583128177,5.29220419839928,3.8701249581796,1.1588131024577,-2.30147024853852,-5.22512221358354,-7.02022563617426,-1.32585475644255,-0.530929749950231,-0.699137932529622,-0.784442682375507,-0.648400506379642,0.390945275806289,-0.361227502749466,-0.874968317421133,-1.94312753237654,-2.12552615797225
-7.51504414507427,1,-1.5049328807479,1.9193749771934,-1.63925837982608,-6.10806945791542,-6.23097929673322,-4.99621964605474,-2.83287924978504,1.72223787208361,4.86939868254651,5.37495172185693,5.48036304807219,1.99782408825392,-0.940306069217373,-4.80625510233842,-6.33339604827121,0.301653237150354,0.402353017133978,-0.0267999730742176,-0.567740932670742,-1.26476684135156,-1.58113824606442,-0.722157948343701,-0.952676752890833,-0.629099702388771,-0.674684016861052
-8.73871910883658,1,0.701969948513037,1.20250341643639,-1.47392969045924,-5.90572358865676,-5.9813216740304,-4.44199068341258,-2.7411416027862,1.72479405292037,5.15722852971928,4.29231797433357,3.97339814636504,2.06279721445434,-0.837966848418982,-3.81776404973921,-6.30205336996878,-1.02300582477991,-1.39350349063642,-1.13374214221708,-1.31580618156557,-1.33759707710342,-1.35987618555146,-1.31761847242532,-2.15561564303442,-2.0916342147618,-2.28221629466789
-7.74859242644335,0,0.0579099258569503,1.65624747809041,0.285096199703765,-4.70522817069461,-5.83376616840366,-4.74261875266451,-1.7156973934262,2.20539588173999,4.20191071113909,5.56759252690227,3.77055739764534,3.088885951213,-1.80541261583374,-3.39976614050228,-7.21255035743342,0.790068634653494,0.844957672010564,1.07978249054132,0.305086304909586,0.585033000249156,0.323575558710996,0.773984688620287,0.844268071546598,0.422595552607074,0.896665845849568
-6.61796283073259,0,0.980613464492298,0.795010452284398,-2.94620816427621,-6.54437313406748,-5.98884223212912,-2.8904553399131,-1.59197219525458,1.33980752938231,4.85273518347258,4.91052711310734,3.00756645515058,1.83282372358779,-1.2937085183478,-3.86426213085661,-5.37689235159389,0.162134194009498,-0.210189628773123,-0.197192933115132,0.119214167298802,-0.0262168588063202,0.217992396699765,0.0354703323404499,0.292392090867432,0.0961739189471514,0.448866613514097
-7.83741894708072,1,-0.94841716196599,1.40778067515688,-0.668972297767203,-4.00446634000347,-5.10004730402753,-4.79829066167739,-1.60620819544538,2.07128992182122,4.81595795546605,4.98354934972463,3.70044460154728,1.39088861920315,-0.277766745280048,-5.03300805056886,-4.87024012894893,-1.2270882871568,-0.77453875724134,-0.621565862525152,-0.863215208312748,-0.711042241596816,-1.29101895829209,-1.01390965287612,-1.63074821740488,-1.67114597036277,-2.06389019672637
-12.5004941064045,0,-0.726523646921604,0.76500044942215,-2.86881350823249,-4.67233386106672,-7.32897204080084,-5.00231184761541,-2.74838020658619,0.44114992190926,5.64836076975418,5.79477686811062,4.91249872526825,1.5284740152733,-2.97935890095336,-6.09810281803029,-6.66625512714136,-0.194411336537242,-0.134350197217391,-0.726527567714772,-0.832219949769032,-0.689650956620374,-1.4469889103956,-1.42174556744821,-0.231022571655513,-0.654440405926352,-0.592900646513387
